ticket_id,subject,message
T001,Payment failed,"My card payment keeps getting declined when I try to purchase."
T002,Cannot login,"I forgot my password and cannot access my account."
T003,Website completely down,"Our entire team cannot access the production dashboard and customers are affected."
T004,Change account email,"I want to change the email address associated with my account."
T005,Package delayed,"My package was supposed to arrive two days ago but it has not arrived."
T006,Application crashing,"The application crashes every time I upload a PDF file."
T007,Refund status,"I requested a refund last week and want to know its status."
T008,Password reset not working,"I requested a password reset but the email never arrives."
T009,Production outage,"Our production service is completely unavailable for all users."
T010,Wrong shipping address,"I entered the wrong shipping address for my recent order."
T011,Payment methods,"What payment methods do you support?"
T012,Login problem,"I am suddenly unable to sign into my account."
T013,Slow dashboard,"The dashboard is extremely slow and takes several minutes to load."
T014,Duplicate charge,"I was charged twice for the same order."
T015,Something is wrong,"Something is wrong with my account and I don't know what happened."
